Sample_nameRps10,Experiment,Sample_or_Control,Incubation,Soil,Treatment
Dung1_1_S222,dunglabsamples,sample,anaerobic,madras,untreated
Dung1_2_S223,dunglabsamples,sample,anaerobic,madras,untreated
Dung1_3_S224,dunglabsamples,sample,anaerobic,madras,untreated
Dung2_1_S225,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung2_2_S226,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung2_3_S227,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung3_1_S228,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung3_2_S229,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung3_3_S230,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung4_1_S231,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung4_2_S232,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung4_3_S233,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung5_1_S234,dunglabsamples,sample,aerobic,madras,untreated
Dung5_2_S235,dunglabsamples,sample,aerobic,madras,untreated
Dung5_3_S236,dunglabsamples,sample,aerobic,madras,untreated
Dung6_1_S237,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung6_2_S238,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung6_3_S239,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung7_1_S240,dunglabsamples,sample,aerobic,tulelake,untreated
Dung7_2_S241,dunglabsamples,sample,aerobic,tulelake,untreated
Dung7_3_S242,dunglabsamples,sample,aerobic,tulelake,untreated
Dung8_1_S243,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
Dung8_2_S244,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
Dung8_3_S245,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
